Modbus holding-register scan
port=COM8  slave=11  baud=9600 8N1  range=0x0000-0xFFFF  timeout=1s
started=2026-07-23 12:22:04

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  2180        0x0884      8400   33792    -1.5107398e-36
  2181        0x0885      8500   34048    (paired into 0x0884)
  2182        0x0886      8600   34304    -2.4173307e-35
  2183        0x0887      8700   34560    (paired into 0x0886)
  2184        0x0888      8800   34816    -3.867964e-34
  2185        0x0889      8900   35072    (paired into 0x0888)
  2186        0x088A      8A00   35328    -6.189119e-33
  2187        0x088B      8B00   35584    (paired into 0x088A)
  2188        0x088C      8C00   35840    -9.903192e-32
  2189        0x088D      8D00   36096    (paired into 0x088C)
  2190        0x088E      8E00   36352    -1.584607e-30
  2191        0x088F      8F00   36608    (paired into 0x088E)
  2192        0x0890      9000   36864    -2.5355253e-29
  2193        0x0891      9100   37120    (paired into 0x0890)
  2194        0x0892      9200   37376    -4.057087e-28
  2195        0x0893      9300   37632    (paired into 0x0892)
  2196        0x0894      9400   37888    -6.4917336e-27
  2197        0x0895      9500   38144    (paired into 0x0894)
  2198        0x0896      9600   38400    -1.0387405e-25
  2199        0x0897      9700   38656    (paired into 0x0896)
  2200        0x0898      9800   38912    -1.6620858e-24
  2201        0x0899      9900   39168    (paired into 0x0898)
  2202        0x089A      9A00   39424    -2.6594988e-23
  2203        0x089B      9B00   39680    (paired into 0x089A)
  2204        0x089C      9C00   39936    -4.2554565e-22
  2205        0x089D      9D00   40192    (paired into 0x089C)
  2206        0x089E      9E00   40448    -6.809144e-21
  2207        0x089F      9F00   40704    (paired into 0x089E)
  2208        0x08A0      A000   40960    -1.0895292e-19
  2209        0x08A1      A100   41216    (paired into 0x08A0)
  2210        0x08A2      A200   41472    -1.7433526e-18
  2211        0x08A3      A300   41728    (paired into 0x08A2)
  2212        0x08A4      A400   41984    -2.7895336e-17
  2213        0x08A5      A500   42240    (paired into 0x08A4)
  2214        0x08A6      A600   42496    -4.463525e-16
  2215        0x08A7      A700   42752    (paired into 0x08A6)
  2216        0x08A8      A800   43008    -7.142073e-15
  2217        0x08A9      A900   43264    (paired into 0x08A8)
  2218        0x08AA      AA00   43520    -1.1428011e-13
  2219        0x08AB      AB00   43776    (paired into 0x08AA)
  2220        0x08AC      AC00   44032    -1.8285928e-12
  2221        0x08AD      AD00   44288    (paired into 0x08AC)
  2222        0x08AE      AE00   44544    -2.925926e-11
  2223        0x08AF      AF00   44800    (paired into 0x08AE)
  2224        0x08B0      B000   45056    -4.681766e-10
  2225        0x08B1      B100   45312    (paired into 0x08B0)
  2226        0x08B2      B200   45568    -7.4912805e-09
  2227        0x08B3      B300   45824    (paired into 0x08B2)
  2228        0x08B4      B400   46080    -1.1986776e-07
  2229        0x08B5      B500   46336    (paired into 0x08B4)
  2230        0x08B6      B600   46592    -1.9180006e-06
  2231        0x08B7      B700   46848    (paired into 0x08B6)
  2232        0x08B8      B800   47104    -3.0689873e-05
  2233        0x08B9      B900   47360    (paired into 0x08B8)
  2234        0x08BA      BA00   47616    -0.00049106777
  2235        0x08BB      BB00   47872    (paired into 0x08BA)
  2236        0x08BC      BC00   48128    -0.007857561
  2237        0x08BD      BD00   48384    (paired into 0x08BC)
  2238        0x08BE      BE00   48640    -0.1257286
  2239        0x08BF      BF00   48896    (paired into 0x08BE)
  2240        0x08C0      C000   49152    -2.0117798
  2241        0x08C1      C100   49408    (paired into 0x08C0)
  2242        0x08C2      C200   49664    -32.19043
  2243        0x08C3      C300   49920    (paired into 0x08C2)
  2244        0x08C4      C400   50176    -515.0781
  2245        0x08C5      C500   50432    (paired into 0x08C4)
  2246        0x08C6      C600   50688    -8241.75
  2247        0x08C7      C700   50944    (paired into 0x08C6)
  2248        0x08C8      C800   51200    -131876
  2249        0x08C9      C900   51456    (paired into 0x08C8)
  2250        0x08CA      CA00   51712    -2.110144e+06
  2251        0x08CB      CB00   51968    (paired into 0x08CA)
  2252        0x08CC      CC00   52224    -3.376435e+07
  2253        0x08CD      CD00   52480    (paired into 0x08CC)
  2254        0x08CE      CE00   52736    -5.402624e+08
  2255        0x08CF      CF00   52992    (paired into 0x08CE)
  2256        0x08D0      D000   53248    -8.644723e+09
  2257        0x08D1      D100   53504    (paired into 0x08D0)
  2258        0x08D2      D200   53760    -1.3832395e+11
  2259        0x08D3      D300   54016    (paired into 0x08D2)
  2260        0x08D4      D400   54272    -2.2133174e+12
  2261        0x08D5      D500   54528    (paired into 0x08D4)
  2262        0x08D6      D600   54784    -3.5415227e+13
  2263        0x08D7      D700   55040    (paired into 0x08D6)
  4096        0x1000      0000   0        3.59e-43
  4097        0x1001      0100   256      (paired into 0x1000)
  4098        0x1002      0200   512      9.404816e-38
  4099        0x1003      0300   768      (paired into 0x1002)
  4100        0x1004      0400   1024     1.5048624e-36
  4101        0x1005      0500   1280     (paired into 0x1004)
  4102        0x1006      0600   1536     2.4079267e-35
  4103        0x1007      0700   1792     (paired into 0x1006)
  4104        0x1008      0800   2048     3.852918e-34
  4105        0x1009      0900   2304     (paired into 0x1008)
  4106        0x100A      0A00   2560     6.165045e-33
  4107        0x100B      0B00   2816     (paired into 0x100A)
  4108        0x100C      0C00   3072     9.864673e-32
  4109        0x100D      0D00   3328     (paired into 0x100C)
  4110        0x100E      0E00   3584     1.578444e-30
  4111        0x100F      0F00   3840     (paired into 0x100E)
  4112        0x1010      1000   4096     2.5256645e-29
  4113        0x1011      1100   4352     (paired into 0x1010)
  4114        0x1012      1200   4608     4.04131e-28
  4115        0x1013      1300   4864     (paired into 0x1012)
  4116        0x1014      1400   5120     6.46649e-27
  4117        0x1015      1500   5376     (paired into 0x1014)
  4118        0x1016      1600   5632     1.0347015e-25
  4119        0x1017      1700   5888     (paired into 0x1016)
  4120        0x1018      1800   6144     1.6556234e-24
  4121        0x1019      1900   6400     (paired into 0x1018)
  4122        0x101A      1A00   6656     2.649159e-23
  4123        0x101B      1B00   6912     (paired into 0x101A)
  4124        0x101C      1C00   7168     4.238913e-22
  4125        0x101D      1D00   7424     (paired into 0x101C)
  4126        0x101E      1E00   7680     6.782674e-21
  4127        0x101F      1F00   7936     (paired into 0x101E)
  4128        0x1020      2000   8192     1.085294e-19
  4129        0x1021      2100   8448     (paired into 0x1020)
  4130        0x1022      2200   8704     1.7365764e-18
  4131        0x1023      2300   8960     (paired into 0x1022)
  4132        0x1024      2400   9216     2.7786916e-17
  4133        0x1025      2500   9472     (paired into 0x1024)
  4134        0x1026      2600   9728     4.4461776e-16
  4135        0x1027      2700   9984     (paired into 0x1026)
  4136        0x1028      2800   10240    7.114318e-15
  4137        0x1029      2900   10496    (paired into 0x1028)
  4138        0x102A      2A00   10752    1.1383602e-13
  4139        0x102B      2B00   11008    (paired into 0x102A)
  4140        0x102C      2C00   11264    1.8214874e-12
  4141        0x102D      2D00   11520    (paired into 0x102C)
  4142        0x102E      2E00   11776    2.9145575e-11
  4143        0x102F      2F00   12032    (paired into 0x102E)
  4144        0x1030      3000   12288    4.663576e-10
  4145        0x1031      3100   12544    (paired into 0x1030)
  4146        0x1032      3200   12800    7.462177e-09
  4147        0x1033      3300   13056    (paired into 0x1032)
  4148        0x1034      3400   13312    1.194021e-07
  4149        0x1035      3500   13568    (paired into 0x1034)
  4150        0x1036      3600   13824    1.91055e-06
  4151        0x1037      3700   14080    (paired into 0x1036)
  4152        0x1038      3800   14336    3.0570664e-05
  4153        0x1039      3900   14592    (paired into 0x1038)
  4154        0x103A      3A00   14848    0.0004891604
  4155        0x103B      3B00   15104    (paired into 0x103A)
  4156        0x103C      3C00   15360    0.0078270435
  4157        0x103D      3D00   15616    (paired into 0x103C)
  4158        0x103E      3E00   15872    0.12524033
  4159        0x103F      3F00   16128    (paired into 0x103E)
  4160        0x1040      4000   16384    2.0039673
  4161        0x1041      4100   16640    (paired into 0x1040)
  4162        0x1042      4200   16896    32.06543
  4163        0x1043      4300   17152    (paired into 0x1042)
  4164        0x1044      4400   17408    513.0781
  4165        0x1045      4500   17664    (paired into 0x1044)
  4166        0x1046      4600   17920    8209.75
  4167        0x1047      4700   18176    (paired into 0x1046)
  4168        0x1048      4800   18432    131364
  4169        0x1049      4900   18688    (paired into 0x1048)
  4170        0x104A      4A00   18944    2.101952e+06
  4171        0x104B      4B00   19200    (paired into 0x104A)
  4172        0x104C      4C00   19456    3.363328e+07
  4173        0x104D      4D00   19712    (paired into 0x104C)
  4174        0x104E      4E00   19968    5.3816525e+08
  4175        0x104F      4F00   20224    (paired into 0x104E)
  4176        0x1050      5000   20480    8.611168e+09
  4177        0x1051      5100   20736    (paired into 0x1050)
  4178        0x1052      5200   20992    1.3778708e+11
  4179        0x1053      5300   21248    (paired into 0x1052)
  4180        0x1054      5400   21504    2.2047275e+12
  4181        0x1055      5500   21760    (paired into 0x1054)
  4182        0x1056      5600   22016    3.5277788e+13
  4183        0x1057      5700   22272    (paired into 0x1056)
  4184        0x1058      5800   22528    5.6447896e+14
  4185        0x1059      5900   22784    (paired into 0x1058)
  8192        0x2000      0000   0        3.59e-43
  8193        0x2001      0100   256      (paired into 0x2000)
  8194        0x2002      0200   512      9.404816e-38
  8195        0x2003      0300   768      (paired into 0x2002)
  8196        0x2004      0400   1024     1.5048624e-36
  8197        0x2005      0500   1280     (paired into 0x2004)
  8198        0x2006      0600   1536     2.4079267e-35
  8199        0x2007      0700   1792     (paired into 0x2006)
  8200        0x2008      0800   2048     3.852918e-34
  8201        0x2009      0900   2304     (paired into 0x2008)
  8202        0x200A      0A00   2560     6.165045e-33
  8203        0x200B      0B00   2816     (paired into 0x200A)
