Modbus holding-register scan
port=COM8  slave=10  baud=9600 8N1  range=0x0-0x2100
started=2026-07-24 21:28:10

  ADDR(dec)   ADDR(hex)   RAW    UINT16   FLOAT32(this,next)
  5448        0x1548      0000   0        0.0
  5449        0x1549      0000   0        0.0
  5450        0x154a      0000   0        0.0
  5451        0x154b      0000   0        0.0
  5452        0x154c      0000   0        0.0
  5453        0x154d      0000   0        2.3777232342663496e-41
  5454        0x154e      4248   16968    50.01300048828125
  5455        0x154f      0D50   3408     (no pair)
  6144        0x1800      414C   16716    12.800000190734863
  6145        0x1801      CCCD   52429    -107479040.0
  6146        0x1802      0000   0        0.0
  6147        0x1803      0000   0        0.0
  6148        0x1804      0000   0        0.0
  6149        0x1805      0000   0        0.0
  6150        0x1806      0000   0        0.0
  6151        0x1807      0000   0        0.0
  6152        0x1808      0000   0        0.0
  6153        0x1809      0000   0        2.303034026117837e-41
  6154        0x180a      4033   16435    2.799999952316284
  6155        0x180b      3333   13107    4.1676685214042664e-08
  6156        0x180c      0000   0        0.0
  6157        0x180d      0000   0        0.0
  6158        0x180e      0000   0        0.0
  6159        0x180f      0000   0        0.0
  6160        0x1810      0000   0        0.0
  6161        0x1811      0000   0        0.0
  6162        0x1812      0000   0        0.0
  6163        0x1813      0000   0        2.2993906501105923e-41
  6164        0x1814      4019   16409    2.4000000953674316
  6165        0x1815      999A   39322    -1.5923226791645783e-23
  6166        0x1816      0000   0        0.0
  6167        0x1817      0000   0        0.0
  6168        0x1818      0000   0        0.0
  6169        0x1819      0000   0        0.0
  6170        0x181a      0000   0        0.0
  6171        0x181b      0000   0        0.0
  6172        0x181c      0000   0        0.0
  6173        0x181d      0000   0        2.327276489550656e-41
  6174        0x181e      40E0   16608    7.0
  6175        0x181f      0000   0        2.2958874039497803e-41
  6176        0x1820      4000   16384    2.0
  6177        0x1821      0000   0        2.2993906501105923e-41
  6178        0x1822      4019   16409    2.4000000953674316
  6179        0x1823      999A   39322    -1.594909511844979e-23
  6180        0x1824      400C   16396    2.200000047683716
  6181        0x1825      CCCD   52429    -107611904.0
  6182        0x1826      40E0   16608    7.0
  6183        0x1827      0000   0        2.3218114255397894e-41
  6184        0x1828      40B9   16569    5.800000190734863
